Variable,Value
CarIdxRPM,"[1549.9996337890625, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
CarIdxSessionFlags,"[1310720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
CarIdxSteer,"[-4.309169292449951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CarIdxTireCompound,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
CarIdxTrackSurface,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
CarIdxTrackSurfaceMaterial,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
CarLeftRight,1
ChanAvgLatency,0.033333078026771545
ChanClockSkew,0.0
ChanLatency,0.03333333507180214
ChanPartnerQuality,1.0
ChanQuality,1.0002304315567017
Clutch,0.0
ClutchRaw,1.0
CpuUsageBG,0.13901112973690033
CpuUsageFG,0.15066713094711304
DCDriversSoFar,1
DCLapStatus,2
dcPitSpeedLimiterToggle,False
dcStarter,False
dcToggleWindshieldWipers,False
dcTriggerWindshieldWipers,False
DisplayUnits,1
dpFastRepair,0.0
dpFuelAddKg,89.0
dpFuelAutoFillActive,0.0
dpFuelAutoFillEnabled,0.0
dpFuelFill,1.0
dpLFTireChange,1.0
dpLFTireColdPress,151.6060028076172
dpLRTireChange,1.0
dpLRTireColdPress,151.6060028076172
dpRFTireChange,1.0
dpRFTireColdPress,151.6060028076172
dpRRTireChange,1.0
dpRRTireColdPress,151.6060028076172
dpWindshieldTearoff,1.0
DriverMarker,False
Engine0_RPM,1550.000244140625
EngineWarnings,0
EnterExitReset,2
FastRepairAvailable,0
FastRepairUsed,0
FogLevel,0.0
FrameRate,91.43701171875
FrontTireSetsAvailable,1
FrontTireSetsUsed,1
FuelLevel,87.88309478759766
FuelLevelPct,0.9874505400657654
FuelPress,5.829999923706055
FuelUsePerHour,2.6344006061553955
Gear,4
GpuUsage,0.08852813392877579
HandbrakeRaw,0.0
IsDiskLoggingActive,False
IsDiskLoggingEnabled,False
IsGarageVisible,False
IsInGarage,False
IsOnTrack,True
IsOnTrackCar,True
IsReplayPlaying,False
Lap,6
LapBestLap,3
LapBestLapTime,11.704899787902832
LapBestNLapLap,0
LapBestNLapTime,0.0
LapCompleted,5
LapCurrentLapTime,491.8480224609375
LapDeltaToBestLap,487.11480712890625
LapDeltaToBestLap_DD,0.9999998807907104
LapDeltaToBestLap_OK,True
LapDeltaToOptimalLap,488.16796875
LapDeltaToOptimalLap_DD,0.9999998807907104
LapDeltaToOptimalLap_OK,True
LapDeltaToSessionBestLap,487.7455749511719
LapDeltaToSessionBestLap_DD,0.9999998807907104
LapDeltaToSessionBestLap_OK,True
LapDeltaToSessionLastlLap,487.6102294921875
LapDeltaToSessionLastlLap_DD,0.9999998211860657
LapDeltaToSessionLastlLap_OK,True
LapDeltaToSessionOptimalLap,488.16796875
LapDeltaToSessionOptimalLap_DD,0.9999998807907104
LapDeltaToSessionOptimalLap_OK,True
LapDist,222.3206787109375
LapDistPct,0.30697327852249146
LapLasNLapSeq,0
LapLastLapTime,12.508199691772461
LapLastNLapTime,0.0
LatAccel,0.05134185776114464
LatAccel_ST,"[0.03937915340065956, 0.05846259742975235, 0.06331885606050491, 0.05212405323982239, 0.0516662523150444, 0.05134185776114464]"
LeftTireSetsAvailable,1
LeftTireSetsUsed,1
LFbrakeLinePress,0.0
LFcoldPressure,151.6060028076172
LFshockDefl,0.016017790883779526
LFshockDefl_ST,"[0.016017580404877663, 0.016017528250813484, 0.016017528250813484, 0.01601763255894184, 0.016017738729715347, 0.016017790883779526]"
LFshockVel,1.9016033547814004e-05
LFshockVel_ST,"[-3.381167334737256e-05, -2.956729531433666e-06, 2.4114597181323916e-05, 3.38879217451904e-05, 2.8613818358280696e-05, 1.9016033547814004e-05]"
LFtempCL,48.77716064453125
LFtempCM,48.77716064453125
LFtempCR,48.77716064453125
LFTiresAvailable,1
LFTiresUsed,1
LFwearL,1.0
LFwearM,1.0
LFwearR,1.0
LoadNumTextures,False
LongAccel,0.008745655417442322
LongAccel_ST,"[-0.13592994213104248, -0.126864492893219, -0.048651210963726044, 0.01601320505142212, 0.012191887944936752, 0.008745655417442322]"
LRbrakeLinePress,0.0
LRcoldPressure,151.6060028076172
LRshockDefl,0.01602941006422043
LRshockDefl_ST,"[0.01602928712964058, 0.016029328107833862, 0.016029369086027145, 0.016029369086027145, 0.016029369086027145, 0.01602941006422043]"
LRshockVel,4.07766128773801e-06
LRshockVel_ST,"[8.727874956093729e-06, 1.6414949641330168e-05, 1.0878619832510594e-05, 2.329256858502049e-06, 1.887025973701384e-06, 4.07766128773801e-06]"
LRtempCL,48.77093505859375
LRtempCM,48.77093505859375
LRtempCR,48.77093505859375
LRTiresAvailable,1
LRTiresUsed,1
LRwearL,1.0
LRwearM,1.0
LRwearR,1.0
ManifoldPress,0.4572485089302063
ManualBoost,False
ManualNoBoost,False
MemPageFaultSec,5.0
MemSoftPageFaultSec,49484.0
OilLevel,12.679999351501465
OilPress,3.9299991130828857
OilTemp,95.52397155761719
OkToReloadTextures,True
OnPitRoad,False
PaceMode,4
Pitch,0.004105293657630682
PitchRate,5.474058980325935e-06
PitchRate_ST,"[-7.371712854364887e-06, -2.1881709471927024e-05, -2.1275016479194164e-05, -1.1454641025920864e-05, -2.7496237180457683e-06, 5.474058980325935e-06]"
PitOptRepairLeft,0.0
PitRepairLeft,0.0
PitsOpen,True
PitstopActive,False
PitSvFlags,63
PitSvFuel,89.0
PitSvLFP,151.6060028076172
PitSvLRP,151.6060028076172
PitSvRFP,151.6060028076172
PitSvRRP,151.6060028076172
PitSvTireCompound,0
PlayerCarClass,0
PlayerCarClassPosition,1
PlayerCarDriverIncidentCount,2
PlayerCarDryTireSetLimit,0
PlayerCarIdx,0
PlayerCarInPitStall,False
PlayerCarMyIncidentCount,2
PlayerCarPitSvStatus,0
PlayerCarPosition,1
PlayerCarPowerAdjust,0.0
PlayerCarSLBlinkRPM,8725.0
PlayerCarSLFirstRPM,8300.0
PlayerCarSLLastRPM,8650.0
PlayerCarSLShiftRPM,8550.0
PlayerCarTeamIncidentCount,2
PlayerCarTowTime,0.0
PlayerCarWeightPenalty,0.0
PlayerFastRepairsUsed,0
PlayerTireCompound,0
PlayerTrackSurface,3
PlayerTrackSurfaceMaterial,1
Precipitation,0.0
PushToPass,False
PushToTalk,False
RaceLaps,6
RadioTransmitCarIdx,-1
RadioTransmitFrequencyIdx,0
RadioTransmitRadioIdx,0
RearTireSetsAvailable,1
RearTireSetsUsed,1
RelativeHumidity,0.3999999761581421
ReplayFrameNum,0
ReplayFrameNumEnd,34874
ReplayPlaySlowMotion,False
ReplayPlaySpeed,1
ReplaySessionNum,-1
ReplaySessionTime,0.0
RFbrakeLinePress,0.0
RFcoldPressure,151.6060028076172
